,n_lines,n_vip_lines,cost,gold_wait,silver_wait,regular_wait,vip_no_lines,regular_no_lines,gold_7,gold_8,gold_9,gold_10,gold_11,silver_7,silver_8,silver_9,silver_10,silver_11,regular_7,regular_8,regular_9,regular_10,regular_11
0,50.0,0.0,0.0,0.0,0.0,0.0,0.6382838283828383,0.6545849945632476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,50.0,0.0,120000.0,0.7579250720461095,0.0,0.0,0.6388427003658131,0.6519337016574586,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,50.0,0.0,360000.0,0.9257142857142856,0.0,0.0,0.6240502147340601,0.6506469500924215,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,50.0,5.0,360000.0,0.8724428399518652,0.0,0.0,0.12248379392698736,0.7786231884057971,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,50.0,5.0,480000.0,1.0,0.0,0.0,0.1393470212049815,0.7825311942959001,25.0,50.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,50.0,5.0,1200000.0,1.0,1.0,0.0,0.1350280620666887,0.7579524680073126,25.0,50.0,0.0,0.0,25.0,50.0,100.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
6,50.0,5.0,1936000.0,1.0,1.0,1.0,0.01122112211221122,0.2489146164978293,25.0,50.0,0.0,0.0,25.0,50.0,100.0,0.0,0.0,30.0,80.0,100.0,0.0,0.0,50.0
7,50.0,5.0,2000000.0,1.0,1.0,1.0,0.015090543259557344,0.2275320970042796,25.0,50.0,0.0,0.0,25.0,50.0,100.0,0.0,0.0,30.0,80.0,120.0,0.0,0.0,50.0
8,50.0,3.0,2000000.0,1.0,1.0,1.0,0.01807426881367072,0.1920289855072464,25.0,50.0,0.0,0.0,25.0,50.0,100.0,0.0,0.0,30.0,80.0,120.0,0.0,0.0,50.0
9,50.0,2.0,2000000.0,1.0,1.0,1.0,0.035520974289580516,0.15562174236783322,25.0,50.0,0.0,0.0,25.0,50.0,100.0,0.0,0.0,30.0,80.0,120.0,0.0,0.0,50.0
10,55.0,5.0,2010000.0,1.0,1.0,1.0,0.0023380093520374077,0.15480557593543653,25.0,50.0,0.0,0.0,25.0,50.0,100.0,0.0,0.0,30.0,80.0,120.0,0.0,0.0,50.0
11,100.0,5.0,2100000.0,1.0,1.0,1.0,0.0,0.0007342143906020558,25.0,50.0,0.0,0.0,25.0,50.0,100.0,0.0,0.0,30.0,80.0,120.0,0.0,0.0,50.0
12,100.0,5.0,900000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,120.0,0.0,0.0,50.0
13,75.0,5.0,850000.0,1.0,1.0,1.0,0.0,0.0453382084095064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,120.0,0.0,0.0,50.0
14,70.0,5.0,840000.0,1.0,1.0,1.0,0.0,0.05498154981549815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,120.0,0.0,0.0,50.0
15,60.0,5.0,820000.0,1.0,1.0,1.0,0.0032722513089005235,0.12486348744084455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,120.0,0.0,0.0,50.0
16,55.0,5.0,810000.0,1.0,1.0,1.0,0.00637370010063737,0.17774667599720084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,120.0,0.0,0.0,50.0
17,50.0,5.0,800000.0,1.0,1.0,1.0,0.013429413691451031,0.2712550607287449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,120.0,0.0,0.0,50.0
18,50.0,5.0,1200000.0,1.0,1.0,1.0,0.013179571663920923,0.2623245771860381,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,80.0,120.0,0.0,0.0,50.0
19,50.0,5.0,1680000.0,1.0,1.0,1.0,0.011062688568555143,0.23302687411598305,50.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0,80.0,120.0,0.0,0.0,50.0
20,50.0,5.0,1920000.0,1.0,1.0,1.0,0.012749264465511605,0.2512526843235505,50.0,50.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0,80.0,120.0,0.0,0.0,50.0
21,50.0,5.0,2360000.0,1.0,1.0,1.0,0.010540632437946278,0.22321428571428573,50.0,100.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.0,80.0,120.0,0.0,0.0,50.0
22,50.0,5.0,2560000.0,1.0,1.0,1.0,0.011051574012056262,0.25124025513819986,50.0,100.0,0.0,0.0,50.0,50.0,100.0,0.0,0.0,50.0,80.0,120.0,0.0,0.0,50.0
23,50.0,5.0,3440000.0,1.0,1.0,1.0,0.009327115256495669,0.24121863799283155,50.0,200.0,0.0,0.0,50.0,50.0,200.0,0.0,0.0,50.0,80.0,120.0,0.0,0.0,50.0
24,55.0,5.0,3450000.0,1.0,1.0,1.0,0.0064802182810368356,0.16703056768558952,50.0,200.0,0.0,0.0,50.0,50.0,200.0,0.0,0.0,50.0,80.0,120.0,0.0,0.0,50.0
25,55.0,5.0,2130000.0,1.0,1.0,1.0,0.0078071961982348935,0.15285714285714286,50.0,50.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.0,80.0,120.0,0.0,0.0,50.0
26,55.0,5.0,1690000.0,1.0,1.0,1.0,0.0061182868796736895,0.16749821810406273,50.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0,80.0,120.0,0.0,0.0,50.0
27,55.0,5.0,1626000.0,1.0,1.0,1.0,0.008655126498002663,0.1870064608758076,50.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0,80.0,100.0,0.0,0.0,50.0
28,55.0,5.0,1530000.0,1.0,1.0,1.0,0.0030821917808219177,0.1520358610384759,50.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0,80.0,70.0,0.0,0.0,50.0
29,55.0,5.0,1466000.0,1.0,1.0,1.0,0.0038115038115038116,0.13909495548961426,50.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0,80.0,50.0,0.0,0.0,50.0
30,55.0,5.0,1306000.0,1.0,1.0,1.0,0.006180871828236825,0.16189111747851004,50.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0,80.0,0.0,0.0,0.0,50.0
31,55.0,5.0,1210000.0,1.0,1.0,1.0,0.0045691906005221935,0.15211062590975255,50.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0
32,55.0,5.0,970000.0,1.0,1.0,1.0,0.007002334111370457,0.15618141916605707,25.0,0.0,0.0,0.0,25.0,50.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0
33,55.0,5.0,826000.0,1.0,1.0,1.0,0.006611570247933884,0.16745713243341845,10.0,0.0,0.0,0.0,10.0,50.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0
34,55.0,5.0,626000.0,1.0,1.0,1.0,0.007028112449799197,0.163112607557052,10.0,0.0,0.0,0.0,10.0,25.0,0.0,0.0,0.0,25.0,50.0,0.0,0.0,0.0,50.0
35,55.0,5.0,498000.0,1.0,1.0,1.0,0.009067357512953369,0.1815252416756176,10.0,0.0,0.0,0.0,10.0,25.0,0.0,0.0,0.0,25.0,30.0,0.0,0.0,0.0,30.0
36,55.0,5.0,386000.0,1.0,1.0,1.0,0.0032808398950131233,0.17266448564158487,10.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,25.0
37,55.0,5.0,378000.0,1.0,1.0,1.0,0.009878169245966415,0.17574882713821724,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,30.0,0.0,0.0,0.0,30.0
38,55.0,5.0,346000.0,1.0,1.0,1.0,0.00676818950930626,0.1582089552238806,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,25.0,0.0,0.0,0.0,25.0
39,55.0,5.0,314000.0,1.0,1.0,1.0,0.007643735460285809,0.2166365280289331,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,20.0
40,55.0,5.0,330000.0,1.0,1.0,1.0,0.004424778761061947,0.15557246101179156,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,20.0,0.0,5.0,0.0,20.0
41,55.0,5.0,298000.0,1.0,0.9990084283589492,0.9899809160305344,0.004672897196261682,0.2325155620651776,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,20.0,0.0,5.0,0.0,10.0
42,55.0,5.0,314000.0,1.0,1.0,0.9995659722222222,0.004807692307692308,0.15106853352984526,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,20.0,0.0,10.0,0.0,10.0
43,55.0,5.0,266000.0,1.0,1.0,0.9977638640429338,0.006455997281685354,0.17399335057258958,5.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,10.0,20.0,0.0,10.0,0.0,10.0
44,55.0,5.0,266000.0,1.0,1.0,0.9977638640429338,0.0064559972816853545,0.17399335057258958,5.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,10.0,20.0,0.0,10.0,0.0,10.0
45,55.0,5.0,250000.0,1.0,0.9959514170040484,0.9471947194719472,0.007111412123264477,0.21774193548387094,5.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,10.0,20.0,0.0,10.0,0.0,5.0
46,55.0,5.0,234000.0,1.0,1.0,0.9347308242020008,0.011394101876675604,0.24219590958019374,5.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,10.0,10.0,5.0,10.0,0.0,5.0
47,55.0,5.0,250000.0,1.0,1.0,0.9537251272559,0.00598802395209581,0.22805139186295506,5.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,10.0,5.0,15.0,10.0,0.0,5.0
48,55.0,5.0,259600.0,1.0,0.9995100440960314,0.9600734281780632,0.006598482349059715,0.20182815356489944,5.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,10.0,3.0,15.0,10.0,5.0,5.0
49,55.0,5.0,240400.0,1.0,0.9995201535508638,0.9547809703250116,0.007889546351084813,0.234341252699784,5.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,10.0,2.0,10.0,10.0,5.0,5.0
50,55.0,5.0,243600.0,1.0,1.0,0.9658160808858932,0.007772020725388602,0.2270189802754001,5.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,10.0,3.0,10.0,10.0,5.0,5.0
